name,funding_total_usd,status,country_code,funding_rounds,Industry_Group,time_between_first_last_funding,days_in_business
ArborMetrix,8300000,operating,USA,2,Health Care,209,1824
Arbsource,150000,operating,USA,1,Information Technology,0,1824
ARC Medical Devices,641953,operating,Other,6,Health Care,1129,2189
Arc Solutions,3000000,operating,USA,2,Software,295,3354
ARCA biopharma,7200442,operating,USA,6,Biotechnology,1581,2259
Arcadia Biosciences,101000000,operating,USA,5,Biotechnology,3249,5111
Arcadia EcoEnergies,200000,operating,Other,1,Biotechnology,0,2951
Arcadia Power,500000,operating,USA,1,Energy,0,485
Arcadian Networks,90000000,closed,USA,1,Information Technology,0,3169
Arcamed,500000,operating,USA,1,Manufacturing,0,1824
"Arcametrics Systems, Inc.",540000,operating,USA,4,Other,460,2920
ArcaNatura LLC,390000,operating,USA,3,Community and Lifestyle,151,1824
Arcaris,28000,operating,USA,1,Software,0,1352
arcbazar.com,135000,operating,USA,2,Internet Services,234,2189
Arccos Golf,5000000,operating,USA,1,Hardware,0,912
Arch Biopartners,295519,operating,Other,2,Biotechnology,133,632
Arch Grants,2500000,operating,USA,1,Financial Services,0,1704
Arch Rock Corporation,15000000,acquired,USA,2,Software,578,4015
Arch Therapeutics,3295397,operating,USA,3,Biotechnology,1235,3650
Archer Pharmaceuticals,2700000,operating,USA,1,Biotechnology,0,2590
Archetype Media,12120000,closed,Other,2,Advertising,323,2875
Archetypes,3535000,operating,USA,1,Community and Lifestyle,0,1824
Archevos,10000,operating,USA,2,Software,640,2317
archify,21189,closed,Other,2,Software,241,1824
Archimedes Pharma,99000000,acquired,Other,1,Biotechnology,0,4381
Archipelago,125000000,acquired,Other,7,Commerce and Shopping,1734,6968
Archipelago Learning,17393712,operating,USA,1,Internet Services,0,5842
Architexa,135000,operating,USA,1,Software,0,3285
Architizer,3508711,operating,USA,3,Real Estate,248,2250
Archivas,12000000,acquired,USA,1,Software,0,3593
Archive Systems,12500000,operating,USA,2,Other,413,9129
Archivers,2883196,operating,USA,1,Internet Services,0,1652
ArchiveSocial,1116000,operating,USA,4,Software,869,1824
Archy,173628,operating,Other,1,Internet Services,0,1368
Arcion Therapeutics,8150000,operating,USA,4,Biotechnology,974,3285
Arcivr,500000,operating,Other,1,Content and Publishing,0,850
ArcMail,3000000,operating,USA,1,Information Technology,0,4015
Arcos Technologies,500000,operating,Other,1,Internet Services,0,3986
Arcot Systems,42000000,acquired,USA,3,Privacy and Security,1135,6937
arcplan Information Services AG,34060000,operating,Other,1,Software,0,7303
ArcSight,26914000,acquired,USA,3,Privacy and Security,2372,5842
ArcSoft,20000000,operating,USA,1,Media and Entertainment,0,7974
Arctic Diagnostics,3496500,closed,Other,1,Health Care,0,1330
Arctic Empire,393669,operating,Other,1,Gaming,0,2060
Arctic Island LLC,1600000,operating,USA,2,Other,438,1379
Arctic Sand Technologies,16200000,operating,USA,2,Software,217,2189
Arctic Silicon Devices,5294000,acquired,Other,2,Advertising,101,2994
Arctic Wolf Networks,7250000,operating,Other,1,Internet Services,0,1459
Arctrieval,35000,operating,USA,1,Health Care,0,2554
Arcturus Therapeutics Inc.,6300000,operating,USA,2,Health Care,142,1093
Arcxis Biotechnologies,3440000,operating,USA,2,Biotechnology,967,3012
ARDACO,3650000,operating,Other,1,Software,0,3575
Ardelyx,35013694,operating,USA,2,Biotechnology,288,3285
Arden Reed,40000,operating,USA,1,Commerce and Shopping,0,1643
Ardent Capital,12500000,operating,Other,2,Advertising,476,1520
Ardian,64080000,acquired,USA,3,Health Care,1542,4746
Ardica Technologies,1875000,operating,USA,1,Software,0,4381
Ardmore Regional Surgery Center,2900150,operating,USA,1,Health Care,0,4991
ARE Telecom & Wind,100000,operating,USA,1,Community and Lifestyle,0,797
Are You a Human,3359333,operating,USA,5,Software,1023,1824
Area 1 Security,2500000,operating,Other,1,Privacy and Security,0,604
Area 52 Games,900000,operating,USA,2,Gaming,134,939
Arecont Vision,80000000,operating,USA,1,Manufacturing,0,4746
Arena Online,750000,operating,USA,1,Gaming,0,516
Arena Solutions,42952301,operating,USA,6,Software,3951,5842
Ares Commercial Real Estate Corporation,37000000,operating,USA,1,Real Estate,0,1824
AREVS,150000,operating,USA,1,Energy,0,1215
Arganteal,611076,operating,USA,1,Other,0,1459
arGEN-X,61949000,operating,Other,3,Biotechnology,812,2302
Argo Navis Consulting,178540,operating,USA,1,Content and Publishing,0,2189
Argo Tea,2323000,operating,USA,1,Health Care,0,4746
Argon 1 Credit Facility,1000000,operating,USA,1,Financial Services,0,759
ArgoPay,500000,operating,USA,1,Software,0,1093
Argos Risk,1760000,operating,USA,2,Software,385,2189
Argos Therapeutics,118352074,operating,USA,6,Health Care,1470,6937
Argus Cyber Security,4000000,operating,Other,1,Information Technology,0,1093
Argus Insights,200000,operating,USA,1,Other,0,2373
Argus Labs,1591580,operating,Other,3,Information Technology,696,1287
Argyle Data,20995129,operating,USA,7,Software,1598,2554
Argyle Social,1565000,operating,USA,2,Software,311,2154
Aria Analytics,350000,operating,USA,1,Other,0,4746
Aria Glassworks,1750000,closed,USA,1,Software,0,2189
Aria Networks,9050000,operating,Other,3,Software,1979,3718
Aria Retirement Solutions,4650000,operating,USA,2,Financial Services,423,1824
Aria Systems,81200000,operating,USA,4,Software,2204,4746
Ariadne Diagnostics,100000,operating,USA,1,Biotechnology,0,1490
AriadNEXT,1670000,operating,Other,1,Software,0,2126
Ariane Systems,7580000,operating,Other,2,Software,862,3628
Aricent Group,64700000,operating,USA,2,Professional Services,225,9129
Arideas,80000,operating,Other,1,Software,0,1428
Aridis Pharmaceuticals,3500000,operating,USA,1,Biotechnology,0,531
Ariel Way,1100000,closed,USA,1,Mobile,0,5476
"Aries TCO, Inc.",360000,operating,USA,4,Administrative Services,2881,3481
Arieso,9513175,acquired,Other,3,Mobile,792,5111
Arigo,5000000,operating,USA,1,Software,0,3285
Ariisto,54000000,operating,Other,2,Real Estate,190,3650
Arimaz,400000,operating,Other,1,Gaming,0,2860
ARIO Data Networks,13050000,operating,USA,2,Software,456,5842
Ario Pharma,3100000,operating,Other,1,Biotechnology,0,749
"Ariosa Diagnostics, Inc.",52700000,operating,USA,1,Biotechnology,0,1451
Arisaph Pharmaceuticals,10000000,operating,USA,1,Biotechnology,0,6207
Arisdyne Systems,7100000,operating,USA,2,Information Technology,514,3650
Arista Power,1500000,operating,USA,1,Information Technology,0,5476
Ariste Medical,1275000,operating,USA,1,Biotechnology,0,1156
Aristo Music Technology,3380000,operating,Other,1,Media and Entertainment,0,2591
Aristos Logic,99360000,operating,USA,2,Software,578,5842
Aristotl,25000,operating,Other,1,Commerce and Shopping,0,2189
Aristotle Circle,2450000,operating,USA,2,Education,243,2342
Arithmatica,622000,closed,USA,1,Software,0,6572
Arius Research,23500000,acquired,Other,2,Biotechnology,103,6207
Arizona Tamale Factory,10000,operating,USA,1,Manufacturing,0,1886
Arjuna Solutions,690000,operating,USA,1,Other,0,602
Ark,5250000,operating,USA,3,Internet Services,1941,1824
Arkadium,5025000,operating,USA,2,Gaming,3847,5476
Arkados Group,400000,operating,USA,1,Software,0,632
Arkami,1800000,operating,USA,1,Software,0,1368
Arkansas Children's Hospital,3500000,operating,USA,1,Biotechnology,0,1459
Arkansas Department of Education,35000,operating,USA,1,Education,0,1771
Arkansas Regional Innovation Hub,250000,operating,USA,1,Other,0,758
Arkansas World Trade Center,600000,operating,USA,1,Other,0,3285
Arkeia Software,4080000,operating,USA,1,Software,0,7303
Arkeo,300000,operating,USA,1,Other,0,1459
ARKeX,62791270,operating,Other,5,Professional Services,3396,4381
Arkimedia,1461360,operating,Other,1,Gaming,0,1266
Arkivum,2878977,operating,Other,2,Information Technology,593,1793
Arkleus Broadcasting,3030821,operating,USA,1,Media and Entertainment,0,532
Arkmicro,3000000,operating,Other,1,Advertising,0,3956
Arktis Radiation Detectors,2900000,operating,Other,1,Advertising,0,3285
Arlington HealthCare,50000,operating,USA,1,Biotechnology,0,2135
ArmaGen Technologies,25492899,operating,USA,2,Biotechnology,2,1128
Armasight,1000000,operating,USA,1,Manufacturing,0,1824
ArmedZilla,1347000,operating,USA,2,Community and Lifestyle,805,2283
Armetheon,7000000,operating,USA,1,Consumer Electronics,0,1824
"ARMGO,Pharma,Inc.",1000000,operating,USA,1,Biotechnology,0,4381
ARMO BioSciences,50000000,operating,USA,2,Biotechnology,184,765
Armor5,2000000,acquired,USA,1,Mobile,0,1824
Armorize Technologies,955000,acquired,USA,2,Internet Services,1250,4015
ArmorText,1120500,operating,USA,2,Mobile,370,1581
Armory Fuel,283500,operating,USA,1,Commerce and Shopping,0,687
"Armory Technologies, Inc.",600000,operating,USA,1,Software,0,1824
Armune BioScience,2049999,operating,USA,3,Biotechnology,1357,4015
Arnica,200000,operating,Other,1,Software,0,1459
Arno Therapeutics,46000000,operating,USA,2,Biotechnology,1142,1933
Arohan Financial,3500000,operating,Other,1,Financial Services,0,3650
Around Knowledge,2500000,operating,Other,1,Software,0,2554
aroundtheway,275000,operating,USA,1,Media and Entertainment,0,2209
AroundWire,2500000,operating,USA,1,Community and Lifestyle,0,2189
Arpeggi,195000,operating,USA,1,Biotechnology,0,1459
ARPU,15564591,closed,USA,3,Advertising,1277,3895
Arradiance,3900000,operating,USA,2,Software,262,4746
Arrail Dental Clinic,110000000,operating,Other,3,Health Care,1510,2130
Array Health Solutions,13425000,operating,USA,5,Software,2246,3650
ArrayComm,30000000,operating,USA,1,Software,0,8764
Arrayent,12638309,operating,USA,3,Software,1442,5111
Arrayent Health,1083000,operating,USA,2,Software,600,1824
Arrayit,1000000,operating,USA,1,Software,0,8398
"ArrayPower, Inc.",14000000,operating,USA,1,Information Technology,0,2920
Arria NLG,40269828,operating,Other,1,Other,0,1824
Arrien Pharmaceuticals,2000000,operating,USA,1,Biotechnology,0,1569
ArriveBefore,10000,operating,USA,1,Travel and Tourism,0,1292
Arrively,40000,operating,USA,1,Transportation,0,1093
Arrogene,3665350,operating,USA,4,Biotechnology,1242,3285
Arroweye Solutions,58900000,operating,USA,7,Financial Services,4469,6207
Arrowhead Research,65982896,operating,USA,3,Biotechnology,1523,4381
Arrowsight,6750000,operating,USA,1,Manufacturing,0,5111
Arroyo Video Solutions,12000000,acquired,USA,1,Gaming,0,5111
ARS-ATD,3000000,operating,Other,1,Energy,0,3148
Arsanis,30400002,operating,Other,3,Biotechnology,1077,2189
Arsenal Medical,34288808,operating,USA,8,Biotechnology,1590,4015
Arsenal Vascular,28000000,operating,USA,5,Biotechnology,650,4015
Arstasis,53999998,operating,USA,3,Health Care,902,3650
Art Circle,40000,operating,Other,1,Commerce and Shopping,0,1093
Art Craft Entertainment,2350000,operating,USA,1,Gaming,0,539
Art of Click,589000,operating,Other,1,Mobile,0,1824
Art of Defence,3239000,acquired,Other,2,Privacy and Security,373,3834
Art of the Dream,100,operating,USA,1,Gaming,0,726
Art Qualified,40000,operating,Other,1,Design,0,1520
Art Sumo,40000,operating,USA,1,Commerce and Shopping,0,1810
Art.com,26240000,operating,USA,3,Design,3187,6572
Artabase,150000,operating,Other,1,Community and Lifestyle,0,4017
artaculous,10000,closed,Other,1,Media and Entertainment,0,3073
artandseek,50000,closed,USA,1,Commerce and Shopping,0,3108
Artax Biopharma,3276082,operating,USA,2,Biotechnology,381,1093
ArtBinder,3200000,operating,USA,1,Software,0,2189
ArtCorgi,200000,operating,USA,1,Design,0,1093
Arteaus Therapeutics,30000000,operating,USA,2,Biotechnology,280,1824
Arterial Health International,90000,operating,USA,1,Biotechnology,0,2554
Arterial Remodeling Technologies,8500000,operating,Other,1,Biotechnology,0,1926
Arteriocyte Medical Systems,250000,operating,USA,2,Software,604,2347
Arteris,28100000,operating,USA,3,Software,913,4746
Artesian Solutions,3176477,operating,Other,1,Financial Services,0,3619
ArthroCAD,2336224,operating,USA,2,Software,358,1824
Arthur Gladstone Mineral Exploration,18000,operating,Other,1,Manufacturing,0,728
Article One Partners,10000000,operating,USA,2,Software,811,2920
ArticleAlley,1000000,operating,Other,1,Content and Publishing,0,4746
Articulate Technologies,410000,operating,USA,1,Information Technology,0,3285
Artielle ImmunoTherapeutics,185740,operating,USA,2,Biotechnology,2120,4207
Artificial Solutions,18826300,operating,Other,2,Mobile,1741,5476
Artify It,800000,operating,USA,1,Design,0,1459
Artillery,2500000,operating,USA,1,Gaming,0,1461
Artimi,31500000,operating,USA,1,Advertising,0,5111
Artisan Mobile,7000000,operating,USA,2,Software,440,2189
Artisan Pharma,85381111,operating,USA,5,Biotechnology,1413,3650
Artisan Square Marketplace,11000,operating,Other,1,Commerce and Shopping,0,881
Artist Growth,2000000,operating,USA,1,Mobile,0,1824
Artklikk,2500000,operating,Other,1,Mobile,0,861
Artlu Media Net Corporation,7000,operating,USA,1,Sales and Marketing,0,6274
Artoo,130000,operating,Other,2,Information Technology,1306,2054
Arts Alliance Media,125439500,operating,Other,2,Content and Publishing,460,4595
ArtSetters,1000000,operating,Other,1,Design,0,908
Artsicle,390000,operating,USA,1,Media and Entertainment,0,1977
Artspace,12200000,acquired,USA,3,Commerce and Shopping,694,1737
ArtSquare,6000,operating,USA,1,Commerce and Shopping,0,1459
Artsy,25940053,operating,USA,5,Design,1553,2554
ARTsys360 Ltd.,848798,operating,Other,2,Administrative Services,1,1000
ARTtwo50,145000,operating,USA,2,Media and Entertainment,335,1215
ArtusLabs,6883956,acquired,USA,3,Software,804,3285
Artvalue.com,124690,operating,Other,1,Commerce and Shopping,0,5111
ArtVentive Medical Group,500000,operating,USA,1,Health Care,0,3285
Aruba Networks,30000000,operating,USA,1,Hardware,0,5111
Arubixs,47409,operating,USA,1,Consumer Electronics,0,963
Aruspex,3770000,operating,USA,1,Professional Services,0,4396
arviem AG,2254193,operating,Other,1,Other,0,2882
Arvinas,15000000,operating,USA,1,Biotechnology,0,1093
Arxan Technologies,17047324,operating,USA,3,Privacy and Security,2389,5476
Aryaka Networks,81166500,operating,USA,6,Software,1876,2615
Arynga,250000,operating,USA,1,Transportation,0,1459
ARYx Therapeutics,28257446,closed,USA,3,Biotechnology,642,2604
Arzeda,12000000,operating,Other,1,Biotechnology,0,2497
As It Is,3000000,operating,USA,1,Internet Services,0,6207
ASAN Security Technologies,1310000,operating,Other,1,Software,0,3605
Asana,38200000,operating,USA,4,Other,1421,2554
Asantae,1946775,operating,USA,2,Health Care,245,2554
asap54.com,3750000,operating,Other,1,Internet Services,0,1003
ASC Information Technology,200000,closed,USA,1,Software,0,4381
ASC Madison,1325000,operating,USA,1,Health Care,0,1824
Ascade,2590000,acquired,Other,1,Software,0,6937
Ascalon International,905300,operating,USA,2,Biotechnology,582,2554
Ascendant Dx,2000000,operating,USA,1,Health Care,0,589
ASCENDANT MDX,13500000,operating,USA,1,Biotechnology,0,916
Ascender Software,864500,operating,USA,1,Health Care,0,1504
Ascendify,1000000,operating,USA,1,Software,0,1307
Ascendx Spine,6025000,operating,USA,3,Health Care,274,1605
Ascenergy,3615000,operating,USA,2,Energy,71,2920
Ascension Orthopedics,18664050,acquired,USA,1,Health Care,0,7303
Ascent Corporation,107000000,operating,USA,1,Internet Services,0,6572
Ascent Solar Technologies,33320000,operating,USA,6,Information Technology,1081,4015
Ascent Therapeutics,18999997,operating,USA,1,Biotechnology,0,2977
Ascenta Therapeutics,1800180,operating,USA,1,Biotechnology,0,2153
ascentify,539000,operating,Other,1,Software,0,4381
Ascenz,482000,operating,Other,2,Professional Services,372,2920
Asclepius Farms,360000,operating,USA,1,Health Care,0,638
Ascletis,100000000,operating,USA,1,Health Care,0,1824
Asempra Technologies,20000000,acquired,USA,1,Software,0,4746
Aseptia,28000000,operating,USA,1,Manufacturing,0,3650
Asesori­as Digitales (Digital Advisors),6000,closed,Other,1,Information Technology,0,3165
Asetek,34860000,operating,USA,3,Consumer Electronics,1455,5842
Ash Access Technology,453000,operating,USA,3,Biotechnology,2346,4381
Ashland-Boyd County Health Department,213000,operating,USA,1,Health Care,0,686
Ashlar Holdings,1164000,operating,USA,1,Health Care,0,3650
ASI System Integration,40000000,operating,USA,1,Professional Services,0,4015
Asia Bioenergy Technologies Berhad,1200000,closed,Other,1,Internet Services,0,828
Asia Dairy Fab,14876146,operating,Other,3,Other,275,2099
Asia Pacific Digital,4099999,operating,Other,1,Internet Services,0,1246
Asia Translate,20000,operating,Other,1,Professional Services,0,2309
Asian Food Center,3500000,operating,USA,1,Health Care,0,3285
AsicAhead,10000000,operating,Other,1,Advertising,0,4746
ASIT Engineering Corporation,525000,operating,USA,1,Manufacturing,0,517
Ask The Doctor,3000000,operating,Other,1,Internet Services,0,7303
Ask Ziggy,3500000,operating,USA,1,Internet Services,0,1233
Ask.com,25000000,acquired,USA,2,Community and Lifestyle,1155,7212
AskBot,40000,operating,Other,1,Community and Lifestyle,0,1619
Askem,1850000,operating,Other,2,Mobile,92,1062
Asker,50000,operating,Other,1,Mobile,0,1824
AskforTask,500000,operating,Other,1,Professional Services,0,1338
AskNshare,600000,operating,USA,2,Community and Lifestyle,1070,2554
Asktourism,500000,operating,Other,1,Travel and Tourism,0,1297
AskU,187500,operating,USA,1,Administrative Services,0,608
Askuity,1800000,operating,Other,1,Other,0,1459
Askvisory.com,250000,operating,Other,1,Professional Services,0,2281
AskYou,7500,operating,Other,1,Internet Services,0,1793
Asl Analytical,1833943,operating,USA,2,Biotechnology,399,4015
ASLAN Pharmaceuticals,34000000,operating,Other,2,Biotechnology,813,2189
Asmacure Ltée,16925741,operating,USA,3,Biotechnology,1471,5111
aSmallWorld,5600000,operating,USA,2,Community and Lifestyle,1641,4321
ASOCS,18522536,operating,Other,5,Mobile,2262,4746
Asoka,7000000,operating,USA,1,Software,0,5476
ASP64,300000,operating,Other,1,Software,0,4746
Aspectiva,1100000,operating,Other,1,Internet Services,0,1062
Aspen Aerogels,136000000,operating,USA,6,Information Technology,1787,5476
Aspen Avionics,14932595,operating,USA,2,Transportation,733,4381
Aspen Evian,100000,operating,USA,1,Health Care,0,758
Aspida,654000,operating,Other,1,Software,0,3302
Aspire,400000,operating,USA,1,Software,0,789
Aspire Bariatrics,5025000,operating,USA,1,Biotechnology,0,4381
ASPIRE Beverages,2950000,operating,USA,2,Health Care,443,1459
Aspire Health,6500004,operating,USA,3,Health Care,342,1824
Aspyra,1000000,operating,USA,1,Software,0,2499
Assay Depot,6500000,operating,USA,3,Professional Services,2360,3285
Assembla,375000,operating,USA,1,Internet Services,0,4015
Assemblage,28000,acquired,USA,1,Other,0,881
Assembly,2900000,operating,USA,2,Software,689,1093
AssertID,40000,operating,USA,1,Privacy and Security,0,3285
Asset Mapping,145774,operating,Other,1,Software,0,1301
Asset Tracking Technologies,100000,operating,USA,1,Other,0,728
Asset Vue LLC.,200000,operating,USA,1,Hardware,0,1602
ASSET4,4900000,acquired,Other,1,Software,0,4746
Asseta,535000,operating,USA,3,Manufacturing,339,1093
AssetAvenue,3000000,operating,USA,1,Real Estate,0,759
AssetMetrix Corporation,3000000,acquired,Other,1,Software,0,5842
ASSIA,50800000,operating,USA,3,Software,668,4746
Assignment Editor,1000000,operating,USA,2,Content and Publishing,609,6026
Assistance.net Inc,40000,operating,USA,1,Professional Services,0,881
Assmbly,40000,operating,Other,1,Commerce and Shopping,0,888
Associated Content,21400000,acquired,USA,4,Internet Services,3090,3650
Associated Material Processing,250000,operating,USA,2,Manufacturing,327,1507
AssuraMed,5700000,acquired,USA,1,Health Care,0,3285
ASSURED INFORMATION SECURITY,180000,operating,USA,1,Software,0,5476
Assured Labor,7000000,operating,USA,3,Internet Services,1091,2799
ASSURED PHARMACY,2740000,operating,USA,5,Biotechnology,797,1835
Assurex Health,74680725,operating,USA,8,Biotechnology,2166,3650
Assurz,5000000,operating,USA,1,Internet Services,0,3626
Astaro,12900000,acquired,Other,2,Privacy and Security,366,5842
Asteel,22420000,operating,Other,1,Software,0,6207
Aster Data Systems,53000000,acquired,USA,4,Other,1786,3834
Asteres,8000000,operating,USA,4,Biotechnology,1717,4746
Asterias Biotherapeutics,12500000,operating,USA,1,Biotechnology,0,1459
Asterion,678000,operating,Other,1,Biotechnology,0,3516
Asterisk,340419,closed,USA,1,Advertising,0,1459
Asthmatx,50000000,acquired,USA,1,Health Care,0,4746
Astley Clarke,5471883,operating,Other,1,Clothing and Apparel,0,7303
Aston Club,1950450,operating,Other,2,Mobile,270,973
"Astrall, Inc",25000,operating,USA,1,Commerce and Shopping,0,1003
Astrid,1900000,acquired,USA,2,Software,409,2920
Astro,1175000,operating,USA,3,Real Estate,468,619
AstroloMe,300000,operating,Other,1,Community and Lifestyle,0,1824
Astute Medical,106134083,operating,USA,6,Biotechnology,2279,3285
Astute Networks,22209289,operating,USA,4,Software,1404,5842
Asuragen,80000000,operating,USA,4,Biotechnology,2484,3650
Asurint,300000,operating,USA,1,Privacy and Security,0,4381
Asuum,732225,operating,Other,2,Commerce and Shopping,138,1003
Async Technologies,3160000,operating,Other,1,Software,0,4381
AT Internet,13909650,operating,Other,2,Software,1359,7303
At Peak Resources,140000,operating,Other,1,Community and Lifestyle,0,1459
Atacatto Fashion Marketplace,500000,operating,Other,1,Commerce and Shopping,0,1428
Atamasoft,36198,operating,Other,1,Software,0,2493
Atara Biotherapeutics,52000000,operating,USA,2,Biotechnology,24,743
Atavist,5425020,operating,USA,3,Software,871,2554
Ataxion,17000000,operating,USA,1,Biotechnology,0,653
AtBizz,300000,closed,Other,1,Media and Entertainment,0,3226
Atbrox,67000,operating,Other,1,Internet Services,0,2305
atCollab,40000,operating,Other,1,Software,0,1307
ATCOR Holdings,50000000,operating,Other,1,Internet Services,0,2746
Ateeda,750565,operating,Other,1,Advertising,0,4015
Atempo,29660000,operating,USA,2,Software,486,8764
Ateneo Digital,40000,operating,Other,1,Commerce and Shopping,0,1824
Aternity,25500000,operating,USA,3,Software,2430,4381
ATG Media (The Saleroom),6963750,operating,Other,1,Design,0,1459
Atheer Labs,1573497,operating,USA,3,Software,185,1824
Athena Design Systems,4000000,closed,USA,1,Software,0,4746
Athena Feminine Technologies,2000000,operating,USA,1,Health Care,0,7303
AtheroMed,37673932,acquired,USA,6,Health Care,1460,3650
AtheroNova,2406500,operating,USA,2,Biotechnology,197,667
Atherotech Diagnostics Lab,999131,operating,USA,1,Biotechnology,0,8033
Athersys,9000002,operating,USA,1,Biotechnology,0,7668
Athic Solutions,1840000,operating,Other,1,Software,0,2529
Athigo,200000,closed,USA,1,Mobile,0,1824
Athlete Builder,250000,operating,USA,1,Education,0,728
Athlete Network,1300000,operating,USA,3,Data and Analytics,1121,728
AthletePath,1681068,operating,USA,4,Software,712,3650
Athletes' Performance,22500000,operating,USA,2,Education,2093,6207
Athletic Standard,100000,operating,USA,1,Community and Lifestyle,0,1855
AtHoc,8200000,operating,USA,2,Information Technology,2638,4015
atHomestars,300000,closed,USA,1,Advertising,0,1581
Athos,3500000,operating,USA,2,Sports,259,1459
ATI Physical Therapy,225828977,operating,USA,1,Health Care,0,7303
Atieva,131000000,operating,USA,3,Transportation,1616,3285
Atigeo,5387632,operating,USA,1,Software,0,3879
Atilekt,125000,operating,USA,1,Commerce and Shopping,0,1412
Ativa Medical,3533014,operating,USA,2,Biotechnology,314,2920
Atlanta Micro,2000000,operating,USA,2,Commerce and Shopping,480,1824
AtlanteTrek,50000,closed,USA,1,Software,0,2220
Atlantia Search,74897,operating,Other,2,Data and Analytics,160,890
Atlantis Computing,30000000,operating,USA,2,Software,994,3650
Atlantis Healthcare,14270000,operating,Other,1,Health Care,0,8398
Atlantium,9000000,operating,Other,1,Information Technology,0,4746
Atlas Cloud,591346,operating,Other,1,Information Technology,0,2189
Atlas Genetics,55583454,operating,Other,2,Biotechnology,1015,4015
Atlas Health Technologies,50000,operating,USA,1,Health Care,0,1093
Atlas Local,115345,operating,USA,1,Sales and Marketing,0,2554
Atlas Powered,700000,operating,USA,1,Software,0,1612
Atlas Scientific,100000,operating,USA,1,Software,0,2920
Atlas Spine,3500000,operating,USA,1,Biotechnology,0,5476
Atlas Wearables,2189019,operating,USA,3,Sports,466,1093
Atlas5D,152500,operating,USA,1,Software,0,1457
Atlassian,210000000,operating,Other,2,Software,1364,5111
Atmail,2000000,operating,Other,1,Information Technology,0,5476
Atmosferiq,300000,operating,USA,1,Advertising,0,850
Atmospheir,1400000,operating,USA,2,Software,340,1520
atokore,58438,operating,Other,1,Internet Services,0,1566
Atom Entertainment,22900000,acquired,USA,1,Gaming,0,5417
Atomic Moguls,1050000,operating,USA,1,Gaming,0,3285
Atomic Reach,4150450,operating,Other,3,Community and Lifestyle,1130,1885
AtomShockwave,22900000,operating,Other,1,Gaming,0,5398
atOnePlace.com,250000,acquired,Other,1,Real Estate,0,3474
Atonometrics,1765800,operating,USA,1,Advertising,0,1835
Atooma,465000,operating,USA,2,Manufacturing,523,665
Atosho,5500000,operating,Other,2,Hardware,578,1822
Atossa Genetics,7600000,operating,USA,2,Biotechnology,654,2554
Atox Bio,26250000,operating,Other,2,Biotechnology,948,1472
Atraverda,33649083,operating,Other,2,Information Technology,240,4015
Atreaon,8000000,operating,USA,1,Biotechnology,0,2189
Atreca,6860000,operating,USA,3,Biotechnology,681,2189
Atrenta,33041484,operating,USA,4,Software,2649,5476
Atreo Medical,410958,acquired,Other,1,Health Care,0,3195
Atria Brindavan Power,8600000,operating,Other,1,Information Technology,0,5842
Atrica,22200000,closed,USA,1,Internet Services,0,5842
AtriCure,8500000,operating,USA,2,Health Care,731,5537
Atritech,30000000,acquired,USA,1,Software,0,2470
ATRP Solutions,5085000,operating,USA,6,Commerce and Shopping,2037,3650
Atrua Technologies,13000000,acquired,USA,3,Mobile,811,5842
Atrum Coal,18500000,operating,Other,1,Other,0,1824
Attachments.me,2500000,acquired,USA,2,Software,398,1824
Attainia,800000,operating,USA,1,Software,0,3628
AtTask,62000000,operating,USA,3,Software,2438,5417
Attend.com,3000000,operating,USA,2,Other,415,1034
Attender,25000,operating,Other,1,Mobile,0,1612
Attendify,200000,operating,USA,1,Mobile,0,1824
Attenex,5000000,acquired,USA,1,Software,0,5842
Attensa,475000,operating,USA,1,Software,0,1824
Attensity,90000000,operating,Other,1,Other,0,5842
Attentio,786000,operating,Other,1,Other,0,4381
Attention Point,25000,operating,USA,1,Biotechnology,0,1459
Attentive.ly,1650000,operating,USA,4,Other,871,1305
Atterley Road,3030502,operating,Other,1,Clothing and Apparel,0,694
Attero,28600000,operating,Other,4,Information Technology,2323,3285
Atterocor,24522872,operating,USA,2,Biotechnology,207,1459
Atticous,25000,operating,USA,1,Commerce and Shopping,0,1643
Attila Resources,7000000,operating,Other,1,Manufacturing,0,2189
Attivio,71100000,operating,USA,4,Software,1867,3073
Attolight,3089864,operating,Other,3,Advertising,711,2860
AttorneyFee,250000,operating,USA,1,Other,0,1571
Attracta,1900000,operating,USA,1,Administrative Services,0,2328
Attraction World,10877666,operating,Other,1,Travel and Tourism,0,1847
Attractionfirst.com,10000,operating,USA,1,Community and Lifestyle,0,455
Attributor,25200000,acquired,USA,4,Internet Services,1594,3742
Attune,2000000,operating,USA,1,Software,0,693
Attune Foods,5000000,operating,USA,1,Health Care,0,3650
Attune Live,343000,operating,Other,1,Health Care,0,2554
Attune RTD,1243750,operating,USA,1,Manufacturing,0,5476
Attune Systems,18000000,closed,USA,2,Software,140,6207
atVenu,1100000,operating,USA,1,Software,0,1459
aTyr Pharma,104500000,operating,USA,5,Biotechnology,2294,4015
Atzip,614000,closed,Other,1,Internet Services,0,1793
Au FINANCIERS,21000000,operating,Other,1,Commerce and Shopping,0,7303
Aubrey,3877920,operating,USA,1,Biotechnology,0,3285
Auctelia,809520,operating,Other,2,Commerce and Shopping,153,2523
Auction.com,141750000,operating,USA,3,Real Estate,565,3285
Auctionata,50000000,operating,Other,3,Commerce and Shopping,806,1428
